0 65c, 1 65c, 2 65c, 4 65c, 6 65c, 8 65c, 10 65c, 12 65c, 14 65c, 16 65c, 18 65c, 20 65c, 22 65c, 24 65c, 26 65c, 28 65c, 30 65c, 32 65c, 34 65c
0 2e9, 1 2d6, 2 2b6, 4 2a5, 6 29c, 8 2cb, 10 2ff, 12 2fe, 14 300, 16 303, 18 30e, 20 303, 22 2ee, 24 2e3, 26 2e8, 28 2e3, 30 2e3, 32 2e3, 34 2e3
0 420, 1 5ad, 2 795, 4 795, 6 795, 8 795, 10 6a6, 12 795, 14 77b, 16 6cc, 18 685, 20 572, 22 3c8, 24 18d, 26 07b, 28 236, 30 4ed, 32 623, 34 61c
0 539, 1 437, 2 528, 4 524, 6 51f, 8 516, 10 4c9, 12 507, 14 4c3, 16 465, 18 344, 20 34a, 22 3fd, 24 46f, 26 4e5, 28 517, 30 558, 32 559, 34 55f
0 25b, 1 237, 2 363, 4 29e, 6 2d7, 8 288, 10 245, 12 1cb, 14 228, 16 28f, 18 28e, 20 261, 22 21a, 24 21d, 26 22f, 28 21d, 30 21d, 32 21d, 34 21d
0 25d, 1 29c, 2 38a, 4 334, 6 2a1, 8 1f2, 10 18c, 12 1f1, 14 22f, 16 28b, 18 29c, 20 27c, 22 253, 24 258, 26 29b, 28 258, 30 258, 32 258, 34 258
0 248, 1 1fd, 2 3d5, 4 3ae, 6 38e, 8 348, 10 321, 12 320, 14 344, 16 32b, 18 3f0, 20 36d, 22 2bf, 24 1f9, 26 0ac, 28 213, 30 339, 32 303, 34 315
0 2bd, 1 2a3, 2 2be, 4 2b0, 6 2a2, 8 2a8, 10 295, 12 2b6, 14 2ab, 16 29a, 18 32c, 20 378, 22 31b, 24 1e6, 26 127, 28 264, 30 3aa, 32 41e, 34 422
0 1fd, 1 38a, 2 4f1, 4 4f1, 6 4f1, 8 4f1, 10 417, 12 4f1, 14 4e5, 16 457, 18 414, 20 326, 22 1ff, 24 174, 26 255, 28 2e9, 30 4b7, 32 5b7, 34 5cc
0 26a, 1 2ba, 2 2a9, 4 292, 6 24c, 8 1ab, 10 221, 12 1d7, 14 2ef, 16 36f, 18 352, 20 2f6, 22 365, 24 35b, 26 416, 28 34f, 30 2f9, 32 347, 34 48c
0 1b0, 1 2e0, 2 368, 4 368, 6 368, 8 368, 10 2fa, 12 368, 14 367, 16 337, 18 31b, 20 2b2, 22 203, 24 0dd, 26 0a0, 28 13a, 30 282, 32 3c3, 34 549
