0 65c, 1 65c, 2 65c, 4 65c, 6 65c, 8 65c, 10 65c, 12 65c, 14 65c, 16 65c, 18 65c, 20 65c, 22 65c, 24 65c, 26 65c, 28 65c, 30 65c, 32 65c, 34 65c
0 296, 1 2a7, 2 2be, 4 2a2, 6 28b, 8 29c, 10 2b7, 12 2ac, 14 2ac, 16 2b3, 18 2b9, 20 2b9, 22 2b9, 24 2b9, 26 2b0, 28 2b9, 30 2b9, 32 2b9, 34 2b9
0 443, 1 5b5, 2 729, 4 729, 6 729, 8 729, 10 646, 12 729, 14 712, 16 66e, 18 62a, 20 525, 22 390, 24 16a, 26 045, 28 250, 30 508, 32 638, 34 61d
0 4fd, 1 422, 2 4dc, 4 4f9, 6 516, 8 513, 10 4b8, 12 50f, 14 4d0, 16 46a, 18 36d, 20 34d, 22 400, 24 46b, 26 4f8, 28 510, 30 54e, 32 54d, 34 550
0 21a, 1 201, 2 393, 4 2b7, 6 2cd, 8 239, 10 1e9, 12 15d, 14 1c3, 16 251, 18 274, 20 247, 22 1fb, 24 1fb, 26 204, 28 1fb, 30 1fb, 32 1fb, 34 1fb
0 232, 1 287, 2 398, 4 341, 6 2a9, 8 1db, 10 158, 12 1b9, 14 1f6, 16 268, 18 287, 20 268, 22 234, 24 234, 26 287, 28 234, 30 234, 32 234, 34 234
0 268, 1 20c, 2 37d, 4 36b, 6 357, 8 337, 10 335, 12 327, 14 347, 16 326, 18 3ec, 20 357, 22 28c, 24 1da, 26 06f, 28 22d, 30 32f, 32 303, 34 32d
0 2d4, 1 2b4, 2 2a4, 4 2a3, 6 2a1, 8 2a2, 10 27c, 12 2a7, 14 2a5, 16 28d, 18 32d, 20 379, 22 335, 24 1f6, 26 0fc, 28 25c, 30 3c3, 32 44b, 34 455
0 207, 1 38c, 2 529, 4 529, 6 529, 8 529, 10 448, 12 529, 14 512, 16 46e, 18 42a, 20 327, 22 201, 24 170, 26 243, 28 2f3, 30 4d6, 32 5b3, 34 5a6
0 28d, 1 2cb, 2 2c6, 4 28e, 6 265, 8 1de, 10 223, 12 1e6, 14 2d5, 16 36a, 18 364, 20 309, 22 35a, 24 375, 26 425, 28 37f, 30 311, 32 355, 34 476
0 18d, 1 2de, 2 3cc, 4 3cc, 6 3cc, 8 3cc, 10 34e, 12 3cc, 14 3bc, 16 366, 18 348, 20 2b9, 22 1e9, 24 0b3, 26 050, 28 131, 30 26f, 32 397, 34 507
0 1b5, 1 269, 2 31e, 4 32d, 6 341, 8 353, 10 31a, 12 36d, 14 370, 16 33b, 18 34d, 20 30d, 22 2ab, 24 20a, 26 1a8, 28 13a, 30 0ae, 32 083, 34 08f
0 10e, 1 2a5, 2 1b3, 4 1a1, 6 1fb, 8 215, 10 1ec, 12 271, 14 374, 16 3bc, 18 475, 20 3ed, 22 3ad, 24 39b, 26 30e, 28 310, 30 316, 32 323, 34 360
0 20c, 1 1a5, 2 11b, 4 0fd, 6 0f6, 8 0de, 10 0dc, 12 153, 14 1db, 16 1fe, 18 2a0, 20 239, 22 2b8, 24 2f4, 26 3c0, 28 3ad, 30 475, 32 4c5, 34 4e7
0 06a, 1 078, 2 06a, 4 044, 6 027, 8 063, 10 092, 12 09e, 14 0b4, 16 0b7, 18 0a5, 20 095, 22 081, 24 06f, 26 06c, 28 07b, 30 088, 32 081, 34 075
0 016, 1 026, 2 00d, 4 00e, 6 013, 8 01f, 10 021, 12 032, 14 03c, 16 041, 18 04f, 20 042, 22 040, 24 037, 26 029, 28 024, 30 014, 32 00e, 34 00b
0 200, 1 1e0, 2 450, 4 407, 6 332, 8 1b9, 10 113, 12 120, 14 21a, 16 221, 18 213, 20 1ea, 22 1a5, 24 1a5, 26 17e, 28 1a5, 30 1a5, 32 1a5, 34 1a5
0 1de, 1 221, 2 3c5, 4 36a, 6 2d8, 8 222, 10 1b0, 12 180, 14 140, 16 165, 18 1b1, 20 1cb, 22 1f6, 24 1f6, 26 1ab, 28 1f6, 30 1f6, 32 1f6, 34 1f6
0 280, 1 2c6, 2 35b, 4 2fe, 6 31a, 8 28a, 10 29c, 12 26d, 14 2fc, 16 388, 18 3de, 20 383, 22 37a, 24 336, 26 256, 28 322, 30 3f9, 32 40b, 34 461
